sHomeName,sAwayName,iHomeGoals,iAwayGoals,sRegularPP,sCalendar,sMatchInfo,sStadium,sSpectators,dDate,iSpectators,sHome,sAway
HC ‘05 iClinic Banská Bystrica,HK Poprad,3,4,," Nedeľa 11.03.2018, 17:00"," 54. kolo, Číslo zápasu 270", ZŠ Banská Bystrica, 2649 divákov,2018-03-11 17:00:00,2649.0,BB,PP
"HK DUKLA Trenčín, a.s.",MHC Martin,5,1,," Piatok 09.09.2016, 18:00"," 1. kolo, Číslo zápasu 1"," ZŠ Pavla Demitru, Trenčín", 2121 divákov,2016-09-09 18:00:00,2121.0,TN,MT
HKM a.s. Zvolen,HC Nové Zámky ,2,1,pp," Piatok 09.09.2016, 18:00"," 1. kolo, Číslo zápasu 2", ZŠ Zvolen, 1380 divákov,2016-09-09 18:00:00,1380.0,ZV,NZ
MsHK Žilina,"MHk 32 Liptovský Mikuláš, a.s.",2,7,," Piatok 09.09.2016, 18:00"," 1. kolo, Číslo zápasu 3", _, 814 divákov,2016-09-09 18:00:00,814.0,ZI,LM
"HK Nitra, s.r.o.",HC ‘05 iClinic Banská Bystrica,4,3,," Piatok 09.09.2016, 17:00"," 1. kolo, Číslo zápasu 4", Nitra Aréna, 2791 divákov,2016-09-09 17:00:00,2791.0,NR,BB
HC Košice s.r.o.,"HK Poprad, s.r.o.",3,1,," Piatok 09.09.2016, 17:30"," 1. kolo, Číslo zápasu 5", STEEL Arena Košice, 3268 divákov,2016-09-09 17:30:00,3268.0,KE,PP
MHC Martin,"HK Poprad, s.r.o.",4,1,," Nedeľa 11.09.2016, 17:00"," 2. kolo, Číslo zápasu 6", ZŠ Martin, 1400 divákov,2016-09-11 17:00:00,1400.0,MT,PP
HC ‘05 iClinic Banská Bystrica,HC Košice s.r.o.,2,3,pp," Nedeľa 11.09.2016, 17:00"," 2. kolo, Číslo zápasu 7", ZŠ Banská Bystrica, 2395 divákov,2016-09-11 17:00:00,2395.0,BB,KE
"MHk 32 Liptovský Mikuláš, a.s.","HK Nitra, s.r.o.",4,3,sn," Nedeľa 11.09.2016, 17:00"," 2. kolo, Číslo zápasu 8", ZŠ Lipt. Mikuláš, 3100 divákov,2016-09-11 17:00:00,3100.0,LM,NR
HC Nové Zámky ,MsHK Žilina,1,0,," Nedeľa 11.09.2016, 17:00"," 2. kolo, Číslo zápasu 9", ZŠ Nové Zámky, 1458 divákov,2016-09-11 17:00:00,1458.0,NZ,ZI
"HK DUKLA Trenčín, a.s.",HKM a.s. Zvolen,1,2,," Nedeľa 11.09.2016, 17:00"," 2. kolo, Číslo zápasu 10"," ZŠ Pavla Demitru, Trenčín", 1638 divákov,2016-09-11 17:00:00,1638.0,TN,ZV
HKM a.s. Zvolen,MHC Martin,4,3,," Streda 14.09.2016, 18:00"," 3. kolo, Číslo zápasu 11", ZŠ Zvolen, 962 divákov,2016-09-14 18:00:00,962.0,ZV,MT
MsHK Žilina,"HK DUKLA Trenčín, a.s.",2,4,," Streda 14.09.2016, 18:00"," 3. kolo, Číslo zápasu 12", _, 482 divákov,2016-09-14 18:00:00,482.0,ZI,TN
"HK Nitra, s.r.o.",HC Nové Zámky ,3,1,," Streda 14.09.2016, 18:00"," 3. kolo, Číslo zápasu 13", Nitra Aréna, 3351 divákov,2016-09-14 18:00:00,3351.0,NR,NZ
HC Košice s.r.o.,"MHk 32 Liptovský Mikuláš, a.s.",2,0,," Streda 14.09.2016, 17:30"," 3. kolo, Číslo zápasu 14", STEEL Arena Košice, 4350 divákov,2016-09-14 17:30:00,4350.0,KE,LM
"HK Poprad, s.r.o.",HC ‘05 iClinic Banská Bystrica,2,4,," Streda 14.09.2016, 18:00"," 3. kolo, Číslo zápasu 15", ZŠ Poprad, 920 divákov,2016-09-14 18:00:00,920.0,PP,BB
MHC Martin,HC ‘05 iClinic Banská Bystrica,0,2,," Piatok 16.09.2016, 18:00"," 4. kolo, Číslo zápasu 16", ZŠ Martin, 1655 divákov,2016-09-16 18:00:00,1655.0,MT,BB
"MHk 32 Liptovský Mikuláš, a.s.","HK Poprad, s.r.o.",2,3,pp," Piatok 16.09.2016, 17:00"," 4. kolo, Číslo zápasu 17", ZŠ Lipt. Mikuláš, 2450 divákov,2016-09-16 17:00:00,2450.0,LM,PP
HC Nové Zámky ,HC Košice s.r.o.,4,3,pp," Piatok 16.09.2016, 18:00"," 4. kolo, Číslo zápasu 18", ZŠ Nové Zámky, 1835 divákov,2016-09-16 18:00:00,1835.0,NZ,KE
"HK DUKLA Trenčín, a.s.","HK Nitra, s.r.o.",2,1,sn," Piatok 16.09.2016, 18:00"," 4. kolo, Číslo zápasu 19"," ZŠ Pavla Demitru, Trenčín", 2211 divákov,2016-09-16 18:00:00,2211.0,TN,NR
HKM a.s. Zvolen,MsHK Žilina,1,3,," Piatok 16.09.2016, 18:00"," 4. kolo, Číslo zápasu 20", ZŠ Zvolen, 1012 divákov,2016-09-16 18:00:00,1012.0,ZV,ZI
MsHK Žilina,MHC Martin,2,4,," Nedeľa 18.09.2016, 17:00"," 5. kolo, Číslo zápasu 21", _, 1002 divákov,2016-09-18 17:00:00,1002.0,ZI,MT
"HK Nitra, s.r.o.",HKM a.s. Zvolen,6,2,," Nedeľa 18.09.2016, 17:00"," 5. kolo, Číslo zápasu 22", Nitra Aréna, 2685 divákov,2016-09-18 17:00:00,2685.0,NR,ZV
HC Košice s.r.o.,"HK DUKLA Trenčín, a.s.",6,0,," Nedeľa 18.09.2016, 17:00"," 5. kolo, Číslo zápasu 23", STEEL Arena Košice, 3046 divákov,2016-09-18 17:00:00,3046.0,KE,TN
"HK Poprad, s.r.o.",HC Nové Zámky ,2,1,," Nedeľa 18.09.2016, 18:00"," 5. kolo, Číslo zápasu 24", ZŠ Poprad, 1078 divákov,2016-09-18 18:00:00,1078.0,PP,NZ
HC ‘05 iClinic Banská Bystrica,"MHk 32 Liptovský Mikuláš, a.s.",3,2,pp," Nedeľa 18.09.2016, 17:00"," 5. kolo, Číslo zápasu 25", ZŠ Banská Bystrica, 2403 divákov,2016-09-18 17:00:00,2403.0,BB,LM
MHC Martin,"MHk 32 Liptovský Mikuláš, a.s.",1,0,," Piatok 23.09.2016, 18:00"," 6. kolo, Číslo zápasu 26", ZŠ Martin, 1955 divákov,2016-09-23 18:00:00,1955.0,MT,LM
HC Nové Zámky ,HC ‘05 iClinic Banská Bystrica,2,9,," Piatok 23.09.2016, 18:00"," 6. kolo, Číslo zápasu 27", ZŠ Nové Zámky, 1792 divákov,2016-09-23 18:00:00,1792.0,NZ,BB
"HK DUKLA Trenčín, a.s.","HK Poprad, s.r.o.",1,2,pp," Piatok 23.09.2016, 18:00"," 6. kolo, Číslo zápasu 28"," ZŠ Pavla Demitru, Trenčín", 1987 divákov,2016-09-23 18:00:00,1987.0,TN,PP
HKM a.s. Zvolen,HC Košice s.r.o.,3,6,," Piatok 23.09.2016, 18:00"," 6. kolo, Číslo zápasu 29", ZŠ Zvolen, 1020 divákov,2016-09-23 18:00:00,1020.0,ZV,KE
MsHK Žilina,"HK Nitra, s.r.o.",3,2,pp," Piatok 23.09.2016, 18:00"," 6. kolo, Číslo zápasu 30", _, 516 divákov,2016-09-23 18:00:00,516.0,ZI,NR
"HK Nitra, s.r.o.",MHC Martin,5,2,," Nedeľa 25.09.2016, 17:00"," 7. kolo, Číslo zápasu 31", Nitra Aréna, 2396 divákov,2016-09-25 17:00:00,2396.0,NR,MT
HC Košice s.r.o.,MsHK Žilina,6,3,," Nedeľa 25.09.2016, 17:00"," 7. kolo, Číslo zápasu 32", STEEL Arena Košice, 2638 divákov,2016-09-25 17:00:00,2638.0,KE,ZI
"HK Poprad, s.r.o.",HKM a.s. Zvolen,3,4,," Nedeľa 25.09.2016, 16:00"," 7. kolo, Číslo zápasu 33", ZŠ Poprad, 1003 divákov,2016-09-25 16:00:00,1003.0,PP,ZV
HC ‘05 iClinic Banská Bystrica,"HK DUKLA Trenčín, a.s.",2,3,," Nedeľa 25.09.2016, 17:00"," 7. kolo, Číslo zápasu 34", ZŠ Banská Bystrica, 2184 divákov,2016-09-25 17:00:00,2184.0,BB,TN
"MHk 32 Liptovský Mikuláš, a.s.",HC Nové Zámky ,3,2,," Nedeľa 25.09.2016, 17:00"," 7. kolo, Číslo zápasu 35", ZŠ Lipt. Mikuláš, 1850 divákov,2016-09-25 17:00:00,1850.0,LM,NZ
MHC Martin,HC Nové Zámky ,3,0,," Piatok 30.09.2016, 18:00"," 8. kolo, Číslo zápasu 36", ZŠ Martin, 1755 divákov,2016-09-30 18:00:00,1755.0,MT,NZ
"HK DUKLA Trenčín, a.s.","MHk 32 Liptovský Mikuláš, a.s.",6,1,," Piatok 30.09.2016, 18:00"," 8. kolo, Číslo zápasu 37"," ZŠ Pavla Demitru, Trenčín", 2039 divákov,2016-09-30 18:00:00,2039.0,TN,LM
HKM a.s. Zvolen,HC ‘05 iClinic Banská Bystrica,5,6,," Piatok 30.09.2016, 18:00"," 8. kolo, Číslo zápasu 38", ZŠ Zvolen, 2285 divákov,2016-09-30 18:00:00,2285.0,ZV,BB
MsHK Žilina,"HK Poprad, s.r.o.",9,2,," Piatok 30.09.2016, 18:00"," 8. kolo, Číslo zápasu 39", _, 459 divákov,2016-09-30 18:00:00,459.0,ZI,PP
"HK Nitra, s.r.o.",HC Košice s.r.o.,6,4,," Piatok 30.09.2016, 18:00"," 8. kolo, Číslo zápasu 40", Nitra Aréna, 3133 divákov,2016-09-30 18:00:00,3133.0,NR,KE
HC Nové Zámky ,MHC Martin,1,2,sn," Piatok 10.02.2017, 18:00"," 17. kolo, Číslo zápasu 81", ZŠ Nové Zámky, 865 divákov,2017-02-10 18:00:00,865.0,NZ,MT
"MHk 32 Liptovský Mikuláš, a.s.","HK DUKLA Trenčín, a.s.",4,2,," Nedeľa 30.10.2016, 17:00"," 17. kolo, Číslo zápasu 82", ZŠ Lipt. Mikuláš, 2130 divákov,2016-10-30 17:00:00,2130.0,LM,TN
HC ‘05 iClinic Banská Bystrica,HKM a.s. Zvolen,4,1,," Nedeľa 30.10.2016, 17:00"," 17. kolo, Číslo zápasu 83", ZŠ Banská Bystrica, 2841 divákov,2016-10-30 17:00:00,2841.0,BB,ZV
"HK Poprad, s.r.o.",MsHK Žilina,1,4,," Nedeľa 30.10.2016, 16:00"," 17. kolo, Číslo zápasu 84", ZŠ Poprad, 951 divákov,2016-10-30 16:00:00,951.0,PP,ZI
HC Košice s.r.o.,"HK Nitra, s.r.o.",5,2,," Utorok 25.10.2016, 17:30"," 17. kolo, Číslo zápasu 85", STEEL Arena Košice, 3558 divákov,2016-10-25 17:30:00,3558.0,KE,NR
MHC Martin,HC Košice s.r.o.,3,4,sn," Piatok 11.11.2016, 18:00"," 18. kolo, Číslo zápasu 86", ZŠ Martin, 1750 divákov,2016-11-11 18:00:00,1750.0,MT,KE
"HK Nitra, s.r.o.","HK Poprad, s.r.o.",2,5,," Piatok 11.11.2016, 18:00"," 18. kolo, Číslo zápasu 87", Nitra Aréna, 2541 divákov,2016-11-11 18:00:00,2541.0,NR,PP
MsHK Žilina,HC ‘05 iClinic Banská Bystrica,2,6,," Piatok 11.11.2016, 18:00"," 18. kolo, Číslo zápasu 88", _, 1195 divákov,2016-11-11 18:00:00,1195.0,ZI,BB
HKM a.s. Zvolen,"MHk 32 Liptovský Mikuláš, a.s.",3,4,pp," Piatok 11.11.2016, 18:00"," 18. kolo, Číslo zápasu 89", ZŠ Zvolen, 1155 divákov,2016-11-11 18:00:00,1155.0,ZV,LM
"HK DUKLA Trenčín, a.s.",HC Nové Zámky ,2,3,pp," Piatok 11.11.2016, 18:00"," 18. kolo, Číslo zápasu 90"," ZŠ Pavla Demitru, Trenčín", 2073 divákov,2016-11-11 18:00:00,2073.0,TN,NZ
"HK DUKLA Trenčín, a.s.",MHC Martin,3,4,," Nedeľa 13.11.2016, 17:00"," 19. kolo, Číslo zápasu 91"," ZŠ Pavla Demitru, Trenčín", 838 divákov,2016-11-13 17:00:00,838.0,TN,MT
HKM a.s. Zvolen,HC Nové Zámky ,4,3,," Nedeľa 13.11.2016, 17:00"," 19. kolo, Číslo zápasu 92", ZŠ Zvolen, 1130 divákov,2016-11-13 17:00:00,1130.0,ZV,NZ
MsHK Žilina,"MHk 32 Liptovský Mikuláš, a.s.",7,3,," Nedeľa 13.11.2016, 17:00"," 19. kolo, Číslo zápasu 93", _, 1398 divákov,2016-11-13 17:00:00,1398.0,ZI,LM
"HK Nitra, s.r.o.",HC ‘05 iClinic Banská Bystrica,1,4,," Nedeľa 13.11.2016, 17:00"," 19. kolo, Číslo zápasu 94", Nitra Aréna, 2649 divákov,2016-11-13 17:00:00,2649.0,NR,BB
HC Košice s.r.o.,"HK Poprad, s.r.o.",1,2,," Nedeľa 13.11.2016, 17:00"," 19. kolo, Číslo zápasu 95", STEEL Arena Košice, 4192 divákov,2016-11-13 17:00:00,4192.0,KE,PP
MHC Martin,"HK Poprad, s.r.o.",5,4,pp," Streda 16.11.2016, 18:00"," 20. kolo, Číslo zápasu 96", ZŠ Martin, 1550 divákov,2016-11-16 18:00:00,1550.0,MT,PP
HC ‘05 iClinic Banská Bystrica,HC Košice s.r.o.,2,3,," Streda 16.11.2016, 17:30"," 20. kolo, Číslo zápasu 97", ZŠ Banská Bystrica, 2841 divákov,2016-11-16 17:30:00,2841.0,BB,KE
"MHk 32 Liptovský Mikuláš, a.s.","HK Nitra, s.r.o.",2,4,," Streda 16.11.2016, 17:00"," 20. kolo, Číslo zápasu 98", ZŠ Lipt. Mikuláš, 1250 divákov,2016-11-16 17:00:00,1250.0,LM,NR
HC Nové Zámky ,MsHK Žilina,4,0,," Streda 16.11.2016, 18:00"," 20. kolo, Číslo zápasu 99", ZŠ Nové Zámky, 1275 divákov,2016-11-16 18:00:00,1275.0,NZ,ZI
"HK DUKLA Trenčín, a.s.",HKM a.s. Zvolen,0,3,," Streda 16.11.2016, 18:00"," 20. kolo, Číslo zápasu 100"," ZŠ Pavla Demitru, Trenčín", 883 divákov,2016-11-16 18:00:00,883.0,TN,ZV
HKM a.s. Zvolen,MHC Martin,2,4,," Piatok 18.11.2016, 18:00"," 21. kolo, Číslo zápasu 101", ZŠ Zvolen, 1112 divákov,2016-11-18 18:00:00,1112.0,ZV,MT
MsHK Žilina,"HK DUKLA Trenčín, a.s.",3,4,pp," Piatok 18.11.2016, 18:00"," 21. kolo, Číslo zápasu 102", _, 1249 divákov,2016-11-18 18:00:00,1249.0,ZI,TN
"HK Nitra, s.r.o.",HC Nové Zámky ,7,4,," Piatok 18.11.2016, 18:00"," 21. kolo, Číslo zápasu 103", Nitra Aréna, 2830 divákov,2016-11-18 18:00:00,2830.0,NR,NZ
HC Košice s.r.o.,"MHk 32 Liptovský Mikuláš, a.s.",7,4,," Piatok 18.11.2016, 17:30"," 21. kolo, Číslo zápasu 104", STEEL Arena Košice, 3454 divákov,2016-11-18 17:30:00,3454.0,KE,LM
"HK Poprad, s.r.o.",HC ‘05 iClinic Banská Bystrica,3,4,," Piatok 18.11.2016, 17:00"," 21. kolo, Číslo zápasu 105", ZŠ Poprad, 1601 divákov,2016-11-18 17:00:00,1601.0,PP,BB
MHC Martin,HC ‘05 iClinic Banská Bystrica,0,3,," Nedeľa 20.11.2016, 17:00"," 22. kolo, Číslo zápasu 106", ZŠ Martin, 2250 divákov,2016-11-20 17:00:00,2250.0,MT,BB
"MHk 32 Liptovský Mikuláš, a.s.","HK Poprad, s.r.o.",4,3,pp," Nedeľa 20.11.2016, 17:00"," 22. kolo, Číslo zápasu 107", ZŠ Lipt. Mikuláš, 1620 divákov,2016-11-20 17:00:00,1620.0,LM,PP
HC Nové Zámky ,HC Košice s.r.o.,1,2,," Nedeľa 20.11.2016, 17:00"," 22. kolo, Číslo zápasu 108", ZŠ Nové Zámky, 1689 divákov,2016-11-20 17:00:00,1689.0,NZ,KE
"HK DUKLA Trenčín, a.s.","HK Nitra, s.r.o.",5,1,," Nedeľa 20.11.2016, 17:00"," 22. kolo, Číslo zápasu 109"," ZŠ Pavla Demitru, Trenčín", 2063 divákov,2016-11-20 17:00:00,2063.0,TN,NR
HKM a.s. Zvolen,MsHK Žilina,5,1,," Nedeľa 20.11.2016, 17:00"," 22. kolo, Číslo zápasu 110", ZŠ Zvolen, 1081 divákov,2016-11-20 17:00:00,1081.0,ZV,ZI
MsHK Žilina,MHC Martin,4,1,," Piatok 25.11.2016, 18:00"," 23. kolo, Číslo zápasu 111", _, 1755 divákov,2016-11-25 18:00:00,1755.0,ZI,MT
"HK Nitra, s.r.o.",HKM a.s. Zvolen,5,2,," Piatok 25.11.2016, 18:00"," 23. kolo, Číslo zápasu 112", Nitra Aréna, 2671 divákov,2016-11-25 18:00:00,2671.0,NR,ZV
HC Košice s.r.o.,"HK DUKLA Trenčín, a.s.",2,1,," Utorok 22.11.2016, 17:30"," 23. kolo, Číslo zápasu 113", STEEL Arena Košice, 3334 divákov,2016-11-22 17:30:00,3334.0,KE,TN
"HK Poprad, s.r.o.",HC Nové Zámky ,7,0,," Piatok 25.11.2016, 17:00"," 23. kolo, Číslo zápasu 114", ZŠ Poprad, 931 divákov,2016-11-25 17:00:00,931.0,PP,NZ
HC ‘05 iClinic Banská Bystrica,"MHk 32 Liptovský Mikuláš, a.s.",2,1,," Piatok 25.11.2016, 17:30"," 23. kolo, Číslo zápasu 115", ZŠ Banská Bystrica, 2515 divákov,2016-11-25 17:30:00,2515.0,BB,LM
MHC Martin,"MHk 32 Liptovský Mikuláš, a.s.",2,3,pp," Nedeľa 27.11.2016, 17:00"," 24. kolo, Číslo zápasu 116", ZŠ Martin, 1755 divákov,2016-11-27 17:00:00,1755.0,MT,LM
HC Nové Zámky ,HC ‘05 iClinic Banská Bystrica,3,2,pp," Nedeľa 27.11.2016, 17:00"," 24. kolo, Číslo zápasu 117", ZŠ Nové Zámky, 1063 divákov,2016-11-27 17:00:00,1063.0,NZ,BB
"HK DUKLA Trenčín, a.s.","HK Poprad, s.r.o.",3,2,," Nedeľa 27.11.2016, 17:00"," 24. kolo, Číslo zápasu 118"," ZŠ Pavla Demitru, Trenčín", 2107 divákov,2016-11-27 17:00:00,2107.0,TN,PP
HKM a.s. Zvolen,HC Košice s.r.o.,4,3,sn," Nedeľa 27.11.2016, 17:00"," 24. kolo, Číslo zápasu 119", ZŠ Zvolen, 1284 divákov,2016-11-27 17:00:00,1284.0,ZV,KE
MsHK Žilina,"HK Nitra, s.r.o.",4,2,," Nedeľa 27.11.2016, 17:00"," 24. kolo, Číslo zápasu 120", _, 989 divákov,2016-11-27 17:00:00,989.0,ZI,NR
"HK Nitra, s.r.o.",MHC Martin,3,0,," Piatok 02.12.2016, 18:00"," 25. kolo, Číslo zápasu 121", Nitra Aréna, 2817 divákov,2016-12-02 18:00:00,2817.0,NR,MT
HC Košice s.r.o.,MsHK Žilina,4,1,," Utorok 10.01.2017, 17:30"," 25. kolo, Číslo zápasu 122", STEEL Arena Košice, 2196 divákov,2017-01-10 17:30:00,2196.0,KE,ZI
"HK Poprad, s.r.o.",HKM a.s. Zvolen,6,1,," Piatok 02.12.2016, 17:00"," 25. kolo, Číslo zápasu 123", ZŠ Poprad, 1043 divákov,2016-12-02 17:00:00,1043.0,PP,ZV
HC ‘05 iClinic Banská Bystrica,"HK DUKLA Trenčín, a.s.",2,3,pp," Piatok 02.12.2016, 17:30"," 25. kolo, Číslo zápasu 124", ZŠ Banská Bystrica, 2263 divákov,2016-12-02 17:30:00,2263.0,BB,TN
"MHk 32 Liptovský Mikuláš, a.s.",HC Nové Zámky ,2,1,pp," Piatok 02.12.2016, 17:00"," 25. kolo, Číslo zápasu 125", ZŠ Lipt. Mikuláš, 1050 divákov,2016-12-02 17:00:00,1050.0,LM,NZ
MHC Martin,HC Nové Zámky ,3,4,," Nedeľa 04.12.2016, 17:00"," 26. kolo, Číslo zápasu 126", ZŠ Martin, 1555 divákov,2016-12-04 17:00:00,1555.0,MT,NZ
"HK DUKLA Trenčín, a.s.","MHk 32 Liptovský Mikuláš, a.s.",0,3,," Nedeľa 04.12.2016, 17:00"," 26. kolo, Číslo zápasu 127"," ZŠ Pavla Demitru, Trenčín", 1685 divákov,2016-12-04 17:00:00,1685.0,TN,LM
HKM a.s. Zvolen,HC ‘05 iClinic Banská Bystrica,2,0,," Nedeľa 04.12.2016, 17:00"," 26. kolo, Číslo zápasu 128", ZŠ Zvolen, 2100 divákov,2016-12-04 17:00:00,2100.0,ZV,BB
MsHK Žilina,"HK Poprad, s.r.o.",2,1,sn," Nedeľa 04.12.2016, 17:00"," 26. kolo, Číslo zápasu 129", _, 575 divákov,2016-12-04 17:00:00,575.0,ZI,PP
"HK Nitra, s.r.o.",HC Košice s.r.o.,3,2,," Nedeľa 04.12.2016, 15:00"," 26. kolo, Číslo zápasu 130", Nitra Aréna, 2787 divákov,2016-12-04 15:00:00,2787.0,NR,KE
HC Košice s.r.o.,MHC Martin,7,2,," Utorok 06.12.2016, 17:30"," 27. kolo, Číslo zápasu 131", STEEL Arena Košice, 3589 divákov,2016-12-06 17:30:00,3589.0,KE,MT
"HK Poprad, s.r.o.","HK Nitra, s.r.o.",4,2,," Utorok 06.12.2016, 17:00"," 27. kolo, Číslo zápasu 132", ZŠ Poprad, 1105 divákov,2016-12-06 17:00:00,1105.0,PP,NR
HC ‘05 iClinic Banská Bystrica,MsHK Žilina,4,2,," Utorok 06.12.2016, 17:30"," 27. kolo, Číslo zápasu 133", ZŠ Banská Bystrica, 1862 divákov,2016-12-06 17:30:00,1862.0,BB,ZI
"MHk 32 Liptovský Mikuláš, a.s.",HKM a.s. Zvolen,4,3,," Utorok 06.12.2016, 17:00"," 27. kolo, Číslo zápasu 134", ZŠ Lipt. Mikuláš, 1100 divákov,2016-12-06 17:00:00,1100.0,LM,ZV
HC Nové Zámky ,"HK DUKLA Trenčín, a.s.",3,4,sn," Utorok 06.12.2016, 18:00"," 27. kolo, Číslo zápasu 135", ZŠ Nové Zámky, 758 divákov,2016-12-06 18:00:00,758.0,NZ,TN
MHC Martin,"HK DUKLA Trenčín, a.s.",5,3,," Piatok 09.12.2016, 18:00"," 28. kolo, Číslo zápasu 136", ZŠ Martin, 1455 divákov,2016-12-09 18:00:00,1455.0,MT,TN
HC Nové Zámky ,HKM a.s. Zvolen,3,6,," Piatok 09.12.2016, 18:00"," 28. kolo, Číslo zápasu 137", ZŠ Nové Zámky, 621 divákov,2016-12-09 18:00:00,621.0,NZ,ZV
"MHk 32 Liptovský Mikuláš, a.s.",MsHK Žilina,1,4,," Piatok 09.12.2016, 17:00"," 28. kolo, Číslo zápasu 138", ZŠ Lipt. Mikuláš, 1160 divákov,2016-12-09 17:00:00,1160.0,LM,ZI
"HK Poprad, s.r.o.",HC Košice s.r.o.,2,3,pp," Piatok 09.12.2016, 18:00"," 28. kolo, Číslo zápasu 140", ZŠ Poprad, 1749 divákov,2016-12-09 18:00:00,1749.0,PP,KE
"HK Poprad, s.r.o.",MHC Martin,1,3,," Nedeľa 11.12.2016, 17:00"," 29. kolo, Číslo zápasu 141", ZŠ Poprad, 957 divákov,2016-12-11 17:00:00,957.0,PP,MT
HC ‘05 iClinic Banská Bystrica,HC Košice s.r.o.,4,0,," Nedeľa 11.12.2016, 17:00"," 29. kolo, Číslo zápasu 142", ZŠ Banská Bystrica, 2307 divákov,2016-12-11 17:00:00,2307.0,BB,KE
"HK Nitra, s.r.o.","MHk 32 Liptovský Mikuláš, a.s.",6,3,," Nedeľa 11.12.2016, 15:00"," 29. kolo, Číslo zápasu 143", Nitra Aréna, 2533 divákov,2016-12-11 15:00:00,2533.0,NR,LM
MsHK Žilina,HC Nové Zámky ,7,2,," Nedeľa 11.12.2016, 18:00"," 29. kolo, Číslo zápasu 144", _, 621 divákov,2016-12-11 18:00:00,621.0,ZI,NZ
HKM a.s. Zvolen,"HK DUKLA Trenčín, a.s.",6,2,," Nedeľa 11.12.2016, 17:00"," 29. kolo, Číslo zápasu 145", ZŠ Zvolen, 1159 divákov,2016-12-11 17:00:00,1159.0,ZV,TN
MHC Martin,HKM a.s. Zvolen,5,3,," Utorok 20.12.2016, 18:00"," 30. kolo, Číslo zápasu 146", ZŠ Martin, 1555 divákov,2016-12-20 18:00:00,1555.0,MT,ZV
"HK DUKLA Trenčín, a.s.",MsHK Žilina,3,6,," Utorok 20.12.2016, 18:00"," 30. kolo, Číslo zápasu 147"," ZŠ Pavla Demitru, Trenčín", 604 divákov,2016-12-20 18:00:00,604.0,TN,ZI
HC Nové Zámky ,"HK Nitra, s.r.o.",2,3,," Utorok 20.12.2016, 18:00"," 30. kolo, Číslo zápasu 148", ZŠ Nové Zámky, 1236 divákov,2016-12-20 18:00:00,1236.0,NZ,NR
"MHk 32 Liptovský Mikuláš, a.s.",HC Košice s.r.o.,3,1,," Utorok 20.12.2016, 17:00"," 30. kolo, Číslo zápasu 149", ZŠ Lipt. Mikuláš, 1160 divákov,2016-12-20 17:00:00,1160.0,LM,KE
HC ‘05 iClinic Banská Bystrica,"HK Poprad, s.r.o.",5,6,pp," Utorok 20.12.2016, 17:30"," 30. kolo, Číslo zápasu 150", ZŠ Banská Bystrica, 2061 divákov,2016-12-20 17:30:00,2061.0,BB,PP
HC ‘05 iClinic Banská Bystrica,MHC Martin,4,2,," Štvrtok 22.12.2016, 17:30"," 31. kolo, Číslo zápasu 151", ZŠ Banská Bystrica, 2164 divákov,2016-12-22 17:30:00,2164.0,BB,MT
"HK Poprad, s.r.o.","MHk 32 Liptovský Mikuláš, a.s.",5,3,," Štvrtok 22.12.2016, 17:00"," 31. kolo, Číslo zápasu 152", ZŠ Poprad, 1395 divákov,2016-12-22 17:00:00,1395.0,PP,LM
HC Košice s.r.o.,HC Nové Zámky ,4,3,pp," Štvrtok 22.12.2016, 17:30"," 31. kolo, Číslo zápasu 153", STEEL Arena Košice, 3018 divákov,2016-12-22 17:30:00,3018.0,KE,NZ
"HK Nitra, s.r.o.","HK DUKLA Trenčín, a.s.",9,2,," Štvrtok 22.12.2016, 18:00"," 31. kolo, Číslo zápasu 154", Nitra Aréna, 3107 divákov,2016-12-22 18:00:00,3107.0,NR,TN
MsHK Žilina,HKM a.s. Zvolen,1,3,," Štvrtok 22.12.2016, 17:00"," 31. kolo, Číslo zápasu 155", _, 2114 divákov,2016-12-22 17:00:00,2114.0,ZI,ZV
MHC Martin,MsHK Žilina,1,3,," Pondelok 26.12.2016, 17:00"," 32. kolo, Číslo zápasu 156", ZŠ Martin, 2855 divákov,2016-12-26 17:00:00,2855.0,MT,ZI
HKM a.s. Zvolen,"HK Nitra, s.r.o.",5,4,," Pondelok 26.12.2016, 17:00"," 32. kolo, Číslo zápasu 157", ZŠ Zvolen, 2089 divákov,2016-12-26 17:00:00,2089.0,ZV,NR
"HK DUKLA Trenčín, a.s.",HC Košice s.r.o.,1,3,," Pondelok 26.12.2016, 17:00"," 32. kolo, Číslo zápasu 158"," ZŠ Pavla Demitru, Trenčín", 2251 divákov,2016-12-26 17:00:00,2251.0,TN,KE
HC Nové Zámky ,"HK Poprad, s.r.o.",7,2,," Pondelok 26.12.2016, 17:00"," 32. kolo, Číslo zápasu 159", ZŠ Nové Zámky, 1213 divákov,2016-12-26 17:00:00,1213.0,NZ,PP
"MHk 32 Liptovský Mikuláš, a.s.",HC ‘05 iClinic Banská Bystrica,2,6,," Pondelok 26.12.2016, 17:00"," 32. kolo, Číslo zápasu 160", ZŠ Lipt. Mikuláš, 2150 divákov,2016-12-26 17:00:00,2150.0,LM,BB
"MHk 32 Liptovský Mikuláš, a.s.",MHC Martin,3,1,," Streda 28.12.2016, 17:00"," 33. kolo, Číslo zápasu 161", ZŠ Lipt. Mikuláš, 1950 divákov,2016-12-28 17:00:00,1950.0,LM,MT
